자치구,행정동,사업장명,경도,위도
마포구,아현동,마포래미안푸르지오@1단지경로당,126.9559037,37.55448325
마포구,아현동,공덕자이제2경로당,126.9559037,37.55448325
강서구,내발산동,마곡수명산파크 2단지(아) 경로당,126.8274406,37.55450424
성동구,송정동,새말경로당,127.0695691,37.55453226
중구,신당동,동아아파트경로당,127.0142637,37.55473651
중구,신당동,약수하이츠경로당,127.0142637,37.55473651
강서구,공항동,다솔 경로당,126.8181799,37.55482281
중구,남대문로5가,남대문5가경로당,126.9743775,37.55490362
성동구,행당동,행당동한신아파트경로당,127.03608,37.55492007
강동구,암사동,구립 구암경로당,127.1344892,37.55496018
마포구,망원동,대주아파트경로당,126.8984858,37.55500295
마포구,서교동,신교경로당,126.9145907,37.55510931
강서구,염창동,신동아(아)경로당,126.869051,37.55512949
성동구,송정동,송일경로당,127.0695581,37.55516017
강서구,등촌동,대동황토방2차(아)경로당,126.8624018,37.55517707
강동구,암사동,한강현대아파트경로당,127.1319245,37.55520967
강서구,공항동,신이주단지 경로당,126.8175514,37.55540911
강서구,염창동,우성1차아파트경로당,126.8702981,37.55556614
강서구,염창동,강변성원(아)경로당,126.872086,37.55557953
마포구,망원동,오칠경로당,126.9076135,37.55559024
강서구,화곡동,우장산롯데캐슬경로당,126.8483185,37.5556368
강서구,염창동,염창우성2차아파트경로당,126.8695084,37.55567843
강서구,등촌동,태영아파트경로당,126.8640906,37.5557025
강서구,염창동,증미경로당,126.8657049,37.55570327
강서구,등촌동,등촌동코오롱2차(아)경로당,126.8602957,37.55573015
중구,회현동1가,회현경로당,126.9819879,37.55583674
마포구,아현동,아현2경로당,126.9517394,37.5558624
성동구,행당동,한진아파트제1경로당,127.0292074,37.55588046
강서구,등촌동,등촌현대아파트경로당,126.8553167,37.55590444
강서구,염창동,길훈아파트 경로당,126.8680314,37.555917
강서구,등촌동,대동황토방(아)경로당,126.8622541,37.55592004
강서구,등촌동,코오롱아파트경로당,126.858282,37.55597805
성동구,송정동,송정동건영아파트경로당,127.0708951,37.55599883
마포구,동교동,세교경로당,126.9301211,37.55627641
강서구,내발산동,우장산힐스테이트 경로당,126.8389651,37.55629566
강서구,염창동,금호타운아파트 경로당,126.8651345,37.55631782
중구,만리동1가,중림경로당,126.9661472,37.55636792
중구,신당동,청구경로당,127.0143271,37.55655201
강동구,고덕동,고덕공무원상록A경로당,127.1548454,37.55661343
강동구,암사동,강동1차아파트경로당,127.14304,37.5566231
강서구,염창동,강변한솔솔파크(아)경로당,126.8665524,37.55668424
강서구,공항동,장미,126.8138337,37.55669299
성동구,행당동,행당두산위브(아)경로당,127.0315298,37.55670454
서대문구,창천동,창천경로당,126.9355207,37.55682071
강서구,내발산동,강서월드메르디앙아파트 경로당,126.8430132,37.55686495
강서구,내발산동,원당 경로당,126.8420346,37.55694114
강서구,등촌동,신원아파트경로당,126.8561949,37.55710015
마포구,망원동,망원2차대림(아)경로당,126.8993557,37.55723168
서대문구,북아현동,동심경로당,126.9488607,37.55742235
성동구,행당동,진펄리경로당,127.0372684,37.55760188
광진구,중곡동,대원경로당,127.0916743,37.55763966
중구,장충동2가,공원장충경로당,127.0040569,37.55767842
서대문구,대현동,대신경로당,126.9440396,37.5577047
성동구,금호동1가,금호한신실버문화센터,127.0207502,37.55771866
중구,중림동,충정 경로당,126.9669323,37.55786785
강서구,등촌동,서광APT 경로당,126.8574445,37.55787715
강동구,고덕동,고덕아남아파트경로당,127.1459738,37.55788676
강서구,등촌동,보람2차아파트경로당,126.8540301,37.55798984
강서구,염창동,벽산늘푸른아파트 경로당,126.8662391,37.55802241
중구,중림동,삼성사이버빌리지경로당,126.9653065,37.55811615
중구,신당동,청송경로당,127.0178956,37.5581689
중구,신당동,삼성아파트경로당,127.0178956,37.5581689
성동구,행당동,서울숲더샵실버문화센터,127.0370317,37.55830591
성동구,행당동,서울숲더샵실버문화센터,127.0370317,37.55830591
성동구,행당동,서울숲행당푸르지오(아)경로당,127.0370317,37.55830591
성동구,하왕십리동,하왕극동미라주아파트경로당,127.023301,37.55848115
마포구,망원동,망원휴먼빌경로당,126.8987426,37.55868104
강서구,가양동,가양9-2단지아파트 경로당,126.8635329,37.55872128
강동구,고덕동,구립)방죽말경로당,127.1708116,37.55888562
마포구,망원동,미원아파트2차경로당,126.902161,37.55891791
강동구,고덕동,고덕주공1단지경로당,127.1552404,37.55893028
강동구,암사동,한강포스파크A경로당,127.1316859,37.55911405
강동구,암사동,새장터경로당,127.1316859,37.55911405
강동구,암사동,서원마을경로당,127.1316859,37.55911405
강동구,암사동,양지마을경로당,127.1316859,37.55911405
강동구,암사동,삼성광나루아파트경로당,127.1316859,37.55911405
강동구,암사동,암사현대홈타운아파트경로당,127.1316859,37.55911405
강동구,암사동,강동롯데캐슬A경로당,127.1316859,37.55911405
강동구,암사동,프라이어팰리스,127.1316859,37.55911405
성동구,하왕십리동,풍림경로당,127.0250863,37.55912319
중구,회현동1가,남산SK리더스뷰 경로당,126.9806366,37.55912751
강서구,등촌동,등촌11단지(아)경로당,126.8491151,37.55915135
서대문구,북아현동,두산아파트경로당,126.9501469,37.55915245
강서구,등촌동,라인아파트경로당,126.8562902,37.55919697
성동구,행당동,행당제2경로당,127.0309626,37.55922361
중구,신당동,다산경로당,127.0120389,37.55922733
광진구,중곡동,한마음경로당,127.0837733,37.55923876
마포구,성산동,성산1동2 경로당,126.9077122,37.55936378
중구,장충동2가,장충경로당,127.001561,37.55940588
광진구,중곡동,중곡4동경로당,127.0931141,37.55940971
성동구,하왕십리동,극동미라주아파트제2경로당,127.0232655,37.55944396
강서구,공항동,동부경로당,126.8128517,37.55955642
서대문구,북아현동,북아현동경로당,126.9569012,37.55956524
서대문구,북아현동,푸르지오아파트2단지경로당,126.9569012,37.55956524
서대문구,북아현동,푸르지오아파트1단지경로당,126.9569012,37.55956524
마포구,동교동,동교동경로당,126.9262267,37.55957223
강동구,강일동,고덕리엔파크2단지경로당,127.1730867,37.55959698
강동구,고덕동,고덕2동경로당,127.1695813,37.55988885
성동구,행당동,삼부아파트경로당,127.0375489,37.55992655
강동구,강일동,강일리버파크10단지경로당,127.1807152,37.56007082
강서구,가양동,빛고을우방아파트경로당,126.8579503,37.56010691
강서구,가양동,가양9-1단지아파트경로당,126.8614166,37.56012374
마포구,망원동,망원2동제1경로당,126.9012485,37.56012764
성동구,하왕십리동,왕십리제2경로당,127.0272664,37.56028914
마포구,연남동,연남동경로당,126.9237599,37.56033615
강서구,공항동,공항경로당,126.809092,37.56037671
성동구,사근동,사근벽산아파트경로당,127.0495486,37.56038316
강서구,등촌동,등촌5단지(아)경로당,126.8448688,37.56045166
중구,필동2가,필동경로당,126.9962366,37.56054514
강서구,공항동,강서센트레빌4차경로당,126.8081234,37.56059228
강서구,가양동,강나루현대아파트경로당,126.8569714,37.56075616
서대문구,대현동,럭키아파트경로당,126.9472122,37.56076865
강서구,등촌동,주공8단지(아)경로당,126.851688,37.56080406
강서구,등촌동,등촌7단지경로당,126.851688,37.56080406
강동구,고덕동,고일경로당,127.1538988,37.56090116
성동구,사근동,사근제1경로당,127.0484334,37.56101793
광진구,중곡동,장수경로당,127.08686,37.5610333
중구,신당동,신당경로당,127.0135419,37.56110511
광진구,중곡동,중곡1동제2경로당,127.0779709,37.56117952
강동구,강일동,고덕리엔파크1단지경로당,127.1716647,37.56118066
성동구,하왕십리동,무학현대아파트경로당,127.0278542,37.56118621
강서구,가양동,강나루2차현대아파트 경로당,126.8557864,37.56120044
성동구,행당동,사근제3경로당,127.041144,37.56129532
중구,충무로1가,남산아이리스경로당,126.9807063,37.56131704
성동구,하왕십리동,금호베스트빌아파트 제1경로당,127.0259178,37.56136289
마포구,성산동,성미경로당,126.9067794,37.56143002
강동구,강일동,강일리버파크8단지경로당,127.1769777,37.56144167
성동구,사근동,사근제4경로당,127.0453273,37.56149975
서대문구,연희동,연희대우아파트경로당,126.9295148,37.56152057
강서구,등촌동,등촌4단지(아) 경로당,126.8433208,37.56156928
강동구,고덕동,장수경로당,127.1695736,37.56160265
강서구,등촌동,등촌2주공아파트경로당,126.8411114,37.56164183
강서구,등촌동,등촌9종합사회복지관 경로당,126.8496297,37.56164209
광진구,중곡동,장수경로당,127.0869088,37.56173253
성동구,사근동,사근하이츠아파트경로당,127.0486534,37.56181098
성동구,하왕십리동,텐즈힐 행복 경로당,127.0287032,37.56191221
성동구,하왕십리동,텐즈힐 열린 경로당,127.0287032,37.56191221
성동구,하왕십리동,무학봉 경로당,127.0287032,37.56191221
성동구,하왕십리동,텐즈힐 행복 경로당,127.0287032,37.56191221
성동구,하왕십리동,텐즈힐 열린 경로당,127.0287032,37.56191221
성동구,하왕십리동,금호베스트빌아파트모아경로당,127.0255548,37.56193853
마포구,성산동,성산1동제1경로당,126.9090447,37.56195905
강서구,가양동,가양7종합사회복지관(정우) 경로당,126.8616923,37.56198516
서대문구,북아현동,서북경로당,126.9513401,37.56205785
강서구,가양동,가양8단지아파트경로당,126.8571738,37.56209628
강서구,가양동,가양우성아파트경로당,126.8541955,37.56222914
강서구,가양동,가양우성(아)경로당,126.8541955,37.56222914
강서구,등촌동,등촌 경로당,126.8436708,37.56223748
강서구,등촌동,등촌3주공아파트경로당,126.8436708,37.56223748
강서구,등촌동,태진아름경로당,126.8436708,37.56223748
강서구,등촌동,미주진로아파트 경로당,126.8436708,37.56223748
강서구,등촌동,등촌6단지(아) 경로당,126.8436708,37.56223748
강서구,등촌동,등서경로당,126.8436708,37.56223748
성동구,용답동,구립용답제1경로당,127.0550087,37.56233681
성동구,하왕십리동,한신무학아파트경로당,127.0283779,37.56235333
강서구,등촌동,등촌10단지아파트경로당,126.8483667,37.56236172
중구,신당동,유락할머니경로당,127.0215324,37.56254327
성동구,하왕십리동,일심할머니경로당,127.0312664,37.56259776
중구,신당동,신일경로당,127.0101934,37.5626148
강서구,등촌동,대림APT 경로당,126.8466557,37.56264612
서대문구,미근동,미근경로당(충정로동분회),126.9662681,37.5626679
성동구,하왕십리동,일심경로당,127.0304484,37.56268808
마포구,성산동,다솜경로당,126.9092848,37.56288276
마포구,성산동,가좌행복경로당,126.9092848,37.56288276
강서구,가양동,가양5종합사회복지관 경로당,126.8546118,37.56294432
서대문구,북아현동,북아현3동분회경로당,126.9549267,37.56304272
중구,서소문동,소공경로당,126.9738995,37.56311295
성동구,용답동,중앙하이츠아파트경로당,127.0554256,37.56315643
중구,신당동,신당5할머니경로당,127.0238033,37.56316974
중구,신당동,동화동경로당,127.0173034,37.56321511
강서구,가양동,가양6단지APT경로당,126.8592941,37.56322912
