전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역
0340,가락시장역,Garak Market,3호선,350,가락시장역 3호선,서울 송파구 송파대로 지하 257,37.4927440321316,127.118485741487,1
0341,경찰병원역,National Police Hospital,3호선,351,경찰병원역 3호선,서울 송파구 중대로 지하 149,37.4956031419934,127.124067847413,0
0342,오금역,Ogeum,3호선,352,오금역 3호선,서울 송파구 오금로 지하 321,37.5022659793733,127.127879247544,1
0409,당고개역,Danggogae,4호선,409,당고개역 4호선,서울 노원구 상계로 305,37.6702926448965,127.079011159467,0
0410,상계역,Sanggye,4호선,410,상계역 4호선,서울 노원구 상계로 182,37.6609038887184,127.073575379339,0
0411,노원역,Nowon,4호선,411,노원역 4호선,서울 노원구 상계로 69-1,37.6562677764281,127.063030448739,1
0412,창동역,Chang-dong,4호선,412,창동역 4호선,서울 도봉구 마들로11길 77,37.6532174818989,127.047714954434,1
0413,쌍문역,Ssangmun,4호선,413,쌍문역 4호선,서울 도봉구 도봉로 지하 486-1,37.6488498649136,127.034880717215,0
0414,수유역,Suyu,4호선,414,수유역 4호선,서울 강북구 도봉로 지하 338,37.6377452337445,127.025356901379,0
0415,미아역,Mia,4호선,415,미아역 4호선,서울 강북구 도봉로 지하 198,37.6264436445109,127.026103434413,0
0416,미아사거리역,Miasamgeori,4호선,416,미아사거리역 4호선,서울 강북구 도봉로 지하 50,37.6132861094991,127.030098418544,0
0417,길음역,Gireum,4호선,417,길음역 4호선,서울 성북구 동소문로 지하 248,37.603183910563,127.024823216768,0
0418,성신여대입구역,Sungshin Women`s Univ.,4호선,418,성신여대입구역 4호선,서울 성북구 동소문로 지하 102,37.5927179261346,127.016477649743,1
0419,한성대입구역,Hansung Univ.,4호선,419,한성대입구역 4호선,서울 성북구 삼선교로 지하 1,37.5883948842004,127.00595033342,0
0420,혜화역,Hyehwa,4호선,420,혜화역 4호선,서울 종로구 대학로 지하 120,37.5818036223189,127.001978401429,0
0421,동대문역,Dongdaemun,4호선,421,동대문역 4호선,서울 종로구 율곡로 지하 308,37.5704117093421,127.009546610861,1
0422,동대문역사문화공원역,Dongdaemun History  Culture Park,4호선,422,동대문역사문화공원역 4호선,서울 중구 장충단로 지하 230,37.5650787698586,127.007550653481,1
2541,왕십리역,Wangsimni,5호선,540,왕십리역 5호선,서울 성동구 왕십리로 지하 300,37.5612217415191,127.036655378283,1
0245,신답역,Sindap,2호선,211-2,신답역 2호선,서울 성동구 천호대로 232,37.5699910562183,127.046820203556,0
2639,보문역,Bomun,6호선,638,보문역 6호선,서울 성북구 보문로 지하 116,37.5853277238848,127.019386983515,1
2640,안암역,Anam,6호선,639,안암역 6호선,서울 성북구 고려대로 지하 89,37.5862804833256,127.029213030111,0
2641,고려대역,Korea Univ.,6호선,640,고려대역 6호선,서울 성북구 종암로 지하 1,37.590649686622,127.036284948669,0
2642,월곡역,Wolgok,6호선,641,월곡역 6호선,서울 성북구 월곡로 지하 107,37.6014210523409,127.041184766468,0
2643,상월곡역,Sangwolgok,6호선,642,상월곡역 6호선,서울 성북구 화랑로 지하 157,37.6062641394281,127.048326622029,0
2644,돌곶이역,Dolgoji,6호선,643,돌곶이역 6호선,서울 성북구 화랑로 지하 243,37.610550696559,127.056425217652,0
2645,석계역,Seokgye,6호선,644,석계역 6호선,서울 노원구 화랑로 지하 347-1,37.6150480846952,127.066118430844,1
2646,태릉입구역,Taereung,6호선,645,태릉입구역 6호선,서울 노원구 동일로 지하 992-1,37.6179056668897,127.074995390927,1
2647,화랑대역,Hwarangdae,6호선,646,화랑대역 6호선,서울 노원구 화랑로 지하 510,37.6198943887187,127.083744624338,0
2648,봉화산역,Bonghwasan,6호선,647,봉화산역 6호선,서울 중랑구 신내로 지하 232,37.6176537624438,127.090758129505,0
2721,중화역,Junghwa,7호선,719,중화역 7호선,서울 중랑구 동일로 지하 797,37.6015796992834,127.079469204905,0
2722,상봉역,Sangbong,7호선,720,상봉역 7호선,서울 중랑구 망우로 297,37.5967137844087,127.085436765164,1
2723,면목역,Myeonmok,7호선,721,면목역 7호선,서울 중랑구 면목로 지하 407,37.5883848968931,127.087567841531,0
2516,발산역,Balsan,5호선,515,발산역 5호선,서울 강서구 공항대로 지하 267,37.5590292668195,126.837310771961,0
2517,우장산역,Ujangsan,5호선,516,우장산역 5호선,서울 강서구 강서로 지하 262,37.5490001953873,126.836408931785,0
2518,화곡역,Hwagok,5호선,517,화곡역 5호선,서울 강서구 화곡로 지하 168,37.5414336176977,126.840496450153,0
2519,까치산역,Kkachisan,5호선,518,까치산역 5호선,서울 강서구 강서로 지하 54,37.5319560847746,126.846611592059,1
2520,신정역,Sinjeong,5호선,519,신정역 5호선,서울 양천구 오목로 지하 179,37.5252107928783,126.857290392028,0
2521,목동역,Mok-dong,5호선,520,목동역 5호선,서울 양천구 오목로 지하 245,37.52619868083,126.864742584692,0
2522,오목교역,Omokgyo,5호선,521,오목교역 5호선,서울 양천구 오목로 지하 342,37.5244500703802,126.875354626254,0
2523,양평역,Yangpyeong,5호선,522,양평역 5호선,서울 영등포구 양산로 지하 21,37.5255116853806,126.886865676125,0
2524,영등포구청역,Yeongdeungpo-gu Office,5호선,523,영등포구청역 5호선,서울 영등포구 양산로 지하 116,37.5242266062117,126.895289064995,1
2525,영등포시장역,Yeongdeungpo Market,5호선,524,영등포시장역 5호선,서울 영등포구 양산로 지하 200,37.5227345248969,126.904959169819,0
2526,신길역,Singil,5호선,525,신길역 5호선,서울 영등포구 경인로114가길 지하 9,37.5176677017212,126.914336937521,1
2527,여의도역,Yeouido,5호선,526,여의도역 5호선,서울 영등포구 여의나루로 지하 40,37.5218423045786,126.924484687694,1
2528,여의나루역,Yeouinaru,5호선,527,여의나루역 5호선,서울 영등포구 여의동로 지하 343,37.5270851610199,126.932863954929,0
2529,마포역,Mapo,5호선,528,마포역 5호선,서울 마포구 마포대로 지하 33,37.5395837885645,126.945920370023,0
2530,공덕역,Gongdeok,5호선,529,공덕역 5호선,서울 마포구 마포대로 지하 100,37.5445267873155,126.951363830233,1
2536,을지로4가역,Euljiro 4(sa)-ga,5호선,535,을지로4가역 5호선,서울 중구 창경궁로 지하 51,37.5675250192617,126.998059555897,1
2539,신금호역,Singeumho,5호선,538,신금호역 5호선,서울 성동구 금호로 지하 154,37.5545324884294,127.020064146247,0
2540,행당역,Haengdang,5호선,539,행당역 5호선,서울 성동구 행당로 지하 89,37.5572784369263,127.029232035475,0
2542,마장역,Majang,5호선,541,마장역 5호선,서울 성동구 마장로 지하 296,37.5662827804848,127.043163438528,0
2543,답십리역,Dapsimni,5호선,542,답십리역 5호선,서울 성동구 천호대로 지하 300,37.5664458277827,127.05318095956,0
2544,장한평역,Janghanpyeong,5호선,543,장한평역 5호선,서울 동대문구 천호대로 지하 405,37.5615026802954,127.064421108758,0
2545,군자역,Gunja,5호선,544,군자역 5호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019,1
2546,아차산역,Achasan,5호선,545,아차산역 5호선,서울 광진구 천호대로 지하 657,37.5524011361136,127.08937059931,0
2547,광나루역,Gwangnaru,5호선,546,광나루역 5호선,서울 광진구 아차산로 지하 571,37.5452786641598,127.103686533578,0
2548,천호역,Cheonho,5호선,547,천호역 5호선,서울 강동구 천호대로 지하 997,37.5385789820645,127.123742434482,1
2549,강동역,Gangdong,5호선,548,강동역 5호선,서울 강동구 천호대로 지하 1097,37.5355205088294,127.133529582127,0
2550,길동역,Gil-dong,5호선,549,길동역 5호선,서울 강동구 양재대로 지하 1480,37.5378115570072,127.13999920444,0
2551,굽은다리역,Gubeundari,5호선,550,굽은다리역 5호선,서울 강동구 양재대로 지하 1572,37.5457314720664,127.142970847846,0
2552,명일역,Myeongil,5호선,551,명일역 5호선,서울 강동구 양재대로 지하 1632,37.5512602756216,127.144000929119,0
2553,고덕역,Godeok,5호선,552,고덕역 5호선,서울 강동구 고덕로 지하 253,37.5550473189056,127.15394941502,0
2554,상일동역,Sangil-dong,5호선,553,상일동역 5호선,서울 강동구 고덕로 지하 359,37.5566643781876,127.165829221931,0
2557,방이역,Bangi,5호선,P551,방이역 5호선,서울 송파구 양재대로 지하 1127,37.5085564458698,127.125854699016,0
2558,오금역,Ogeum,5호선,P552,오금역 5호선,서울 송파구 오금로 지하 321,37.5022659793733,127.127879247544,1
2559,개롱역,Gaerong,5호선,P553,개롱역 5호선,서울 송파구 오금로 지하 402,37.4978146566399,127.135158595127,0
2560,거여역,Geoyeo,5호선,P554,거여역 5호선,서울 송파구 오금로 지하 499,37.4932073280335,127.144032331306,0
2561,마천역,Macheon,5호선,P555,마천역 5호선,서울 송파구 마천로57길 지하 7,37.4946706182588,127.152320621872,0
