사업장명,소재지전체주소
수서노인교실,서울특별시 강남구 수서동 723번지 
압구정여류노인교실,서울특별시 강남구 신사동 592-4번지 
강남복지관노인교실,서울특별시 강남구 개포동 강남종합사회복지관 
묘동노인교실,서울특별시 강남구 대치동 1015-8번지 
광림노인교실,서울특별시 강남구 신사동 571-2번지 
풍년노인교실,서울특별시 강남구 도곡동 959-2번지 
한빛행복학교 노인교실,서울특별시 강남구 개포동 한빛선교교회 
서대문성당성심회노인교실,서울특별시 서대문구 냉천동 서대문성당 
아현동성당노인대학 노인교실,서울특별시 서대문구 북아현동 9-1번지 
바오르노인교실,서울특별시 서대문구 연희동 334-37번지 
가재울시니어아카데미,서울특별시 서대문구 남가좌동 
연희노인교실,서울특별시 서대문구 연희동 301-1번지 
창천동 노인문화센타,서울특별시 서대문구 창천동 4-61번지 
서현교회부설 노인교실,서울특별시 서대문구 북아현동 1-282번지 
노후복지센타노인교실,서울특별시 서대문구 대현동 490-17번지 
(사)대한노인회서대문구지회부설노인교실,서울특별시 서대문구 현저동 
홍제노인교실,서울특별시 서대문구 홍제동 301-1번지 
총신노인교실,서울특별시 서대문구 현저동 1-87번지 
아현노인교실,서울특별시 서대문구 북아현동 950-1번지 
홍성노인교실,서울특별시 서대문구 홍제동 286-30번지 
고은노인교실,서울특별시 서대문구 홍제동 449-1번지 
상지경로당,서울특별시 서대문구 홍은동 178-15번지 
서대문노인교실,서울특별시 서대문구 홍은동 9-794번지 
송파시니어대학,서울특별시 송파구 송파동 
임마누엘복지센터,서울특별시 송파구 장지동 
가락시니어아카데미,서울특별시 송파구 송파동 181번지 
성모탄신노인교실,서울특별시 송파구 오금동 22-1번지 
에덴청춘노인교실,서울특별시 송파구 삼전동 
에덴청춘노인교실,서울특별시 송파구 삼전동 
에덴청춘노인교실,서울특별시 송파구 삼전동 
거여시니어아카데미,서울특별시 송파구 거여동 
효경노인교실,서울특별시 송파구 문정동 141번지 
대건노인교실,서울특별시 송파구 신천동 11-2번지 
풍납시니어아카데미,서울특별시 송파구 풍납동 339-1번지 
희락당노인교실,서울특별시 송파구 송파동 122-1번지 
(사)대한노인회송파구지회부설 송파노인교실,서울특별시 송파구 송파동 97-41번지 
성당부설은빛노인교실,서울특별시 송파구 잠실동 301-7번지 
금빛노인교실,서울특별시 송파구 문정동 150-33번지 
중앙노인교실,서울특별시 송파구 잠실동 307-6번지 
동현노인교실,서울특별시 송파구 방이동 64-12번지 
구의교회 노인교실,서울특별시 광진구 구의동 208-15번지 
구의교회 늘푸른대학,서울특별시 광진구 구의동 208-15번지 
자양동성당노인교실,서울특별시 광진구 자양동 553-339번지 
한국중앙노인교실,서울특별시 광진구 중곡동 169-8번지 
중곡여가교실,서울특별시 광진구 중곡동 134-18번지 
(사)대한노인회 광진구지회 부설 광진노인교실,서울특별시 광진구 광장동 
자양노인교실,서울특별시 광진구 자양동 
요아킴안나노인교실,서울특별시 도봉구 쌍문동 485-3번지 
도성생활학교,서울특별시 도봉구 도봉동 617-4번지 
성모탄신지혜대학,서울특별시 도봉구 방학동 
상현평생대학,서울특별시 노원구 중계동 
어르신 신앙학교,서울특별시 노원구 상계동 186-1번지 
바오로노인대학,서울특별시 노원구 월계동 372-3번지 
대건기로대학,서울특별시 노원구 상계동 1105-68번지 
공능행복대학,서울특별시 노원구 공릉동 499-7번지 
상계경신노인대학,서울특별시 노원구 상계동 1019-8번지 
삼일경로대학,서울특별시 노원구 상계동 357-7번지 
태릉성당 지혜대학,서울특별시 노원구 공릉동 87번지 
상계행복대학,서울특별시 노원구 상계동 436-2번지 
수정경로대학,서울특별시 노원구 하계동 275-2번지 
노원마태오시니어아카데미,서울특별시 노원구 상계동 661번지 
루카시니어아카데미,서울특별시 노원구 상계동 1292번지 
요셉시니어 아카데미,서울특별시 노원구 하계동 
양업시니어아카데미,서울특별시 노원구 중계동 58-21번지 
노원은빛청춘노인교실,서울특별시 노원구 월계동 321번지 
중계노인교실,서울특별시 노원구 중계동 501-1번지 
평화노인교실,서울특별시 노원구 중계동 514-3번지 
(사)대한노인회 노원구지회 부설 노인교실,서울특별시 노원구 중계동 507-3번지 
보라매노인교실,서울특별시 동작구 신대방동 474-3번지 
(사)대한노인회 동작구지회 부설 노인교실,서울특별시 동작구 대방동 407-8번지 
상도노인교실,서울특별시 동작구 상도동 600-2번지 
남현노인교실,서울특별시 동작구 상도동 159-56번지 
제일교회노인교실,서울특별시 동작구 흑석동 80-3번지 
예수성심노인교실,서울특별시 동작구 사당동 42번지 
우장산성당 부설 시니어아카데미,서울특별시 강서구 화곡동 
방화3동성당 성가정 시니어아카데미,서울특별시 강서구 방화동 
예장경향교회 노인교실,서울특별시 강서구 등촌동 
목양중앙교회,서울특별시 강서구 화곡동 409-77번지 
예원시니어대학,서울특별시 강서구 등촌동 
강서제자노인교실,서울특별시 강서구 방화동 609-201번지 
노인 지도자 대학,서울특별시 강서구 등촌동 637-19번지 
순교자 노인대학,서울특별시 강서구 등촌동 695-3번지 
발음어르신문화교실,서울특별시 강서구 내발산동 709-8번지 
한빛노인교실,서울특별시 강서구 화곡동 332-12번지 
강남교회,서울특별시 강서구 화곡동 957-10번지 
배광노인교실,서울특별시 강서구 등촌동 564-1번지 
영신늘푸른노인교실,서울특별시 강서구 방화동 805번지 
등촌제일교회노인교실,서울특별시 강서구 등촌동 631-9번지 
하상시니어아카데미,서울특별시 강서구 화곡동 883번지 
천사노인교실,서울특별시 강서구 가양동 1481번지 
염창교회 노인교실,서울특별시 강서구 염창동 264-30번지 
등촌1동성당 노인교실 평생대학,서울특별시 강서구 등촌동 등촌1동천주교회 
치유하는교회 늘푸른실버대학,서울특별시 강서구 화곡동 346-46번지 
성모시니어아카데미 노인교실,서울특별시 강서구 화곡동 105-244번지 
성산어르신문화교실,서울특별시 강서구 방화동 487-7번지 
강서교회노인교실,서울특별시 강서구 화곡동 358-15번지 
성지교회노인교실,서울특별시 강서구 가양동 1479-3번지 
양화노인예능교실,서울특별시 강서구 등촌동 646-1번지 
까치산노인교실,서울특별시 강서구 화곡동 105-456번지 
강서시니어대학,서울특별시 강서구 내발산동 671-30번지 
남서울교회 늘푸른노인교실,서울특별시 영등포구 당산동 
도림노인교실,서울특별시 영등포구 도림동 
신길노인교실,서울특별시 영등포구 신길동 
영신노인교실,서울특별시 영등포구 당산동4가 
소망영신 노인교실,서울특별시 영등포구 신길동 
대림교회 노인교실,서울특별시 영등포구 신길동 
한국복지정보통신어르신정보화교실,서울특별시 광진구 자양동 주식회사 케이티 자양빌딩 B동 
