,행정동,경로당수,사회복지시설수,노인교실수,노인인구비율,새벽생활인구,아침생활인구,낮생활인구,저녁생활인구,밤생활인구
120,성내동,16.0,0.0,4.0,0.15886666666666668,897.9077695000001,861.5181771333333,839.6801606333332,870.8742536666667,884.3284722666667
121,성북동,4.0,0.0,1.0,0.1792,659.7389207,673.0664002999999,665.1036881,658.0010046,659.4747328999999
122,성산동,14.0,0.0,3.0,0.15075,765.3630675,765.2813219,737.1920346500001,741.89228695,753.4510612500001
123,성수동,35.0,1.0,1.0,0.15352500000000002,496.26985080000003,558.060765425,634.7817175499999,563.7271925499999,512.1584176
124,세곡동,7.0,0.0,2.0,0.1446,1362.0908259999999,1337.1618740000001,1185.496369,1213.588635,1307.970411
125,송정동,5.0,0.0,1.0,0.1606,312.4253213,311.3642695,274.58340439999995,265.7778264,294.6702889
126,송파동,10.0,1.0,4.0,0.1389,741.37047855,720.8103296500001,662.4246014500001,697.9232044,735.10612395
127,수색동,8.0,0.0,0.0,0.1813,387.8908135,406.6593855,370.962655,376.0209517,388.4802944
128,수서동,9.0,0.0,2.0,0.297,896.8512247000001,978.4524257999999,1044.004362,1017.7599220000001,976.7702777999999
129,수유동,23.0,1.0,4.0,0.2061666666666667,855.2647155666667,808.9160900666667,789.8577040333333,854.8465792000001,867.8259941666665
130,숭인동,4.0,0.0,0.0,0.17509999999999998,333.9874202,345.55514734999997,455.10608479999996,381.912462,343.07214550000003
131,시흥동,35.0,5.0,5.0,0.19362000000000001,619.04157662,579.6589981200001,550.06589998,592.3188494999999,611.64003574
132,신계동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,신공덕동,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,신길동,40.0,0.0,11.0,0.16155,465.36813548333333,441.87279214999995,395.3952917,423.8541121333333,450.6169024166668
135,신내동,27.0,2.0,0.0,0.17466666666666666,948.7259905999999,912.83388545,806.575484,854.53558705,908.13861615
136,신당동,22.0,2.0,3.0,0.1618,421.0426867,438.1058382,535.9255780999999,468.1363956,454.69166875
137,신대방동,13.0,0.0,2.0,0.15025,632.4450498,638.9131356,625.15042285,597.84783305,621.6792946
138,신도림동,20.0,0.0,0.0,0.1281,860.8173642,897.9852131000001,925.8411742999999,911.6444493999999,865.3923468
139,신림동,49.0,0.0,11.0,0.0858,452.91739900000005,509.6232726,610.1023687999999,659.8791161,569.3249165
140,신사동,22.0,2.0,4.0,0.16925,695.250356125,697.647769075,692.289684225,707.440503475,697.799774825
141,신수동,8.0,0.0,1.0,0.1412,530.2512201999999,494.761464,428.6061794,454.5958232,494.2500907
142,신원동,2.0,0.0,0.0,0.1692,560.3428147999999,507.75006950000005,415.36332139999996,454.8889416,514.2297671
143,신월동,46.0,2.0,14.0,0.17612857142857144,504.21392962857135,468.97263942857137,431.8616676857143,476.5389662714285,495.76672718571433
144,신정동,66.0,1.0,11.0,0.14003333333333332,773.9782037,747.0513760333333,686.4038056333333,729.7608602,764.1893301333333
145,신창동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,신천동,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
147,신촌동,1.0,0.0,0.0,0.0925,660.6943075,847.1595277999999,1131.889746,851.5826663999999,710.4445927999999
148,쌍문동,38.0,2.0,1.0,0.19082500000000002,633.0467426,600.4725589999999,544.9619581,599.797590025,632.69070285
149,아현동,7.0,1.0,0.0,0.1172,653.9110049999999,690.1980432999999,714.8216072,691.3659932,674.332585
150,안암동,6.0,0.0,1.0,0.129,468.9726041,549.7085992000001,631.449203,544.8668703,503.4315958000001
