,Unnamed: 0,FACI_NM,FACI_GB_CD,FACI_GB_NM,FCOB_CD,FCOB_NM,FTYPE_CD,FTYPE_NM,FACI_STAT,FACI_ROAD_POST,FACI_ROAD_ADDR1,FACI_ROAD_ADDR2,FACI_POST,FACI_ADDR1,FACI_ADDR2,FACI_POINT_X,FACI_POINT_Y,서울유무
15139,71951,다락원체육공원 실내체육관(배드민턴장),P,공공,P09,체육관,P0903,생활체육관,정상운영,1318.0,서울특별시 도봉구 창포원로 45 (도봉동),,1318.0,서울특별시 도봉구 도봉동 8 다락원 체육공원,,127.0468078,37.69170616,서울
15292,72194,노량진근린공원(대방)게이트볼장,P,공공,P22,기타시설,P2201,기타시설,정상운영,6941.0,서울특별시 동작구 여의대방로44길 39 (대방동),,6941.0,서울특별시 동작구 대방동  23-176,,126.92958929999999,37.51085484,서울
15318,72268,노량진근린공원(고구동산)농구장,P,공공,P22,기타시설,P2201,기타시설,정상운영,6912.0,서울특별시 동작구 매봉로6길 16 (본동),,6912.0,서울특별시 동작구 본동  126-450 노량진근린공원,,126.95479579999999,37.50746858,서울
15319,72269,노량진근린공원(고구동산)족구장,P,공공,P22,기타시설,P2201,기타시설,정상운영,6912.0,서울특별시 동작구 매봉로6길 16 (본동),,6912.0,서울특별시 동작구 본동  126-450 노량진근린공원,,126.95479579999999,37.50746858,서울
15320,72270,노량진근린공원(고구동산)게이트볼장,P,공공,P22,기타시설,P2201,기타시설,정상운영,6912.0,서울특별시 동작구 매봉로6길 16 (본동),,6912.0,서울특별시 동작구 본동  126-450 노량진근린공원,,126.95479579999999,37.50746858,서울
15370,72374,갈곡리어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 은평구 갈현1동,,126.91641899999999,37.624177,서울
15371,72375,갈대밭어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 도봉2동,,127.04539799999999,37.674143,서울
15395,72445,개나리어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 중동 40-5일대,,126.9091858,37.56989603,서울
15398,72451,개웅산생활체육관,P,공공,P09,체육관,P0903,생활체육관,정상운영,8351.0,서울특별시 구로구 개봉로3길 108-20 (개봉동),,8351.0,서울특별시 구로구 개봉동 298-3 개웅산생활체육관,,126.8497243,37.485307,서울
15488,72847,광진구민체육센터,P,공공,P17,골프연습장,P1701,골프연습장,정상운영,4970.0,서울특별시 광진구 구천면로 14 (광장동),,4970.0,서울특별시 광진구 광장동  313-3 광진구민체육센터,,127.10682209999999,37.54599901,서울
15489,72848,광진문화예술회관,P,공공,P17,골프연습장,P1701,골프연습장,정상운영,5065.0,서울특별시 광진구 능동로 76 (자양동),,5065.0,서울특별시 광진구 자양동  227-344 광진문화예술회관 및 구의회청사,,127.0705762,37.53757126,서울
15504,72873,구로구민체육센터,P,공공,P09,체육관,P0903,생활체육관,정상운영,8239.0,서울특별시 구로구 고척로45길 39 (고척동),,8239.0,서울특별시 구로구 고척동 산9-14 구로구민체육센터,구로구민체육센터,126.85327590000001,37.50658124,서울
15646,73288,노원구민체육센터,P,공공,P22,기타시설,P2201,기타시설,정상운영,1741.0,서울특별시 노원구 노원로22길 1 (중계동),,1741.0,서울특별시 노원구 중계동 360-18 노원구민체육센타,,127.07069879999999,37.64815891,서울
15663,73359,다람쥐어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창2동,,127.034752,37.644964,서울
15716,73495,대치은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 대치4동,,127.051547,37.501671,서울
15717,73496,대치은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 서울특별시 강남구 일원동 712-18,,,,서울
15730,73574,도구머리근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 방배2동,,126.98866000000001,37.479816,서울
15741,73598,도화소어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 도화동 540,,126.94553329999998,37.54109729,서울
15742,73600,독산동다목적광장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 독산3동,,126.90186899999999,37.476451000000004,서울
15785,73710,둥근달어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 쌍문3동,,127.03025500000001,37.649776,서울
15798,73903,마장국민체육센터,P,공공,P09,체육관,P0903,생활체육관,정상운영,4759.0,서울특별시 성동구 마조로11길 6 (마장동),,4759.0,서울특별시 성동구 마장동 399-98 마장국민체육센터,,,,서울
15873,74095,물방울어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창3동,,127.04111599999999,37.63743,서울
15880,74128,민들레어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 노원구 상계8동,,127.056123,37.661653,서울
15897,74200,반포본동주민센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 반포본동,,126.986158,37.500440000000005,서울
15900,74212,방배래미안아트힐,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 방배3동,,127.004658,37.476933,서울
15901,74213,방배배수지축구장,P,공공,P02,축구장,P0201,축구장,정상운영,,서울 서초구 방배동 599,,,서울 서초구 방배동 599,,126.9924619,37.47272693,서울
15902,74214,방배본동주민센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 방배본동,,126.98873700000001,37.494015999999995,서울
15905,74219,방화동부센트레빌,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강서구 방화1동,,126.81406799999999,37.574401,서울
15933,74317,별장길어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 시흥5동,,126.90863,37.448155,서울
15950,74348,복사꽃어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 도화동 533,,126.946526,37.53902184,서울
15956,74358,봉산도시자연공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 은평구 구산동,,126.90400600000001,37.616008,서울
16065,74663,새나라어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 노원구 공릉1동,,127.072668,37.622126,서울
16066,74664,새누리어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 상암동 1619,,126.89814840000001,37.57549842,서울
16067,74666,새동네어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 도봉1동,,127.043276,37.688884,서울
16068,74667,새락골어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 은평구 신사1동,,126.911325,37.598956,서울
16071,74674,새장골어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 은평구 불광2동,,126.92619199999999,37.625131,서울
16079,74689,생잇들어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 방학2동,,127.03915,37.668946999999996,서울
16082,74694,서강나루문화공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 창전동 165-5,,126.93106409999999,37.5452992,서울
16108,74746,서일교육문화회관,P,공공,P09,체육관,P0901,구기체육관,정상운영,6617.0,서울특별시 서초구 서운로21길 2 (서초동),,6617.0,서울특별시 서초구 서초동 1313 서일중학교,,,,서울
16109,74747,서일문화체육센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 서초4동,,127.023219,37.49853,서울
16115,74754,서초구민체육센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 반포2동,,126.99043300000001,37.498845,서울
16156,74856,성황당어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 성산2동 147-5,,126.9073395,37.56901523,서울
16197,74976,송파구여성축구장,P,공공,P02,축구장,P0201,축구장,정상운영,138829.0,방이동88-10,,138829.0,서울 송파구 방이동 88-10,,127.1228703,37.52528923,서울
16204,74987,수서은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 서울특별시 강남구 일원동 712-29,,,,서울
16205,74988,수서은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 수서동,,127.099753,37.492136,서울
16230,75162,시민의숲테니스장,P,공공,P06,테니스장,P0601,테니스장,정상운영,137893.0,서초구 양재동 224번지외3필지,,137893.0,서울 서초구 양재동 224,,127.0381081,37.45821474,서울
16236,75186,신도림생활체육관,P,공공,P09,체육관,P0903,생활체육관,정상운영,8200.0,서울특별시 구로구 경인로67길 149 (신도림동),,8200.0,서울특별시 구로구 신도림동 324-4 신도림생활체육관,,126.88323390000002,37.51376259,서울
16238,75191,신동교육문화회관,P,공공,P09,체육관,P0901,구기체육관,정상운영,6516.0,서울특별시 서초구 나루터로 27 (잠원동),,6516.0,서울특별시 서초구 잠원동 54-6 신동중학교,,,,서울
16239,75192,신동문화체육센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 잠원동,,127.012918,37.516915000000004,서울
16247,75218,신사은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 신사동,,127.026074,37.520575,서울
16248,75219,신사은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 서울특별시 강남구 일원동 712-17,,,,서울
16274,75299,싸리고개근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 도곡동 550 외 5필지,,127.0363375,37.48962812,서울
16275,75300,싸리고개마을마당,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 서울특별시 강남구 일원동 712-34,,,,서울
16276,75301,싸리고개마을마당,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 도곡1동,,127.035098,37.489082,서울
16277,75302,쌍둥이어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 성산2동 200-335,,126.90675039999999,37.56574956,서울
16281,75333,아래방죽마을공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 서울특별시 강남구 일원동 712-32,,,,서울
16282,75334,아래방죽마을공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 세곡동,,127.104322,37.481383,서울
16335,75527,어린이야구연습장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,8217.0,서울특별시 구로구 경인로53길 15 (구로동),,8217.0,서울특별시 구로구 구로동 1258 중앙유통단지,구로동 621-8,126.87283149999999,37.49954301,서울
16337,75534,언남문화체육센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 양재2동,,127.044243,37.472402,서울
16338,75535,언남문화체육센터,P,공공,P09,체육관,P0903,생활체육관,정상운영,6780.0,서울특별시 서초구 동산로13길 35 (양재동),,6780.0,"서울특별시 서초구 양재동 309 언남고등학교,언남교육문화회관",,,,서울
16351,75653,역삼은행나무공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 역삼1동,,127.031305,37.505464,서울
