행정동코드,행정동명,시간대구분,총생활인구수평균,60-64세,65세-69세,70세이상,노인(65세이상)생활인구수
11350710,상계9동,저녁,16089.86896,581.6227885,424.3106923,600.5726485,1024.883341
11350710,상계9동,밤,18896.64909,687.1332093,484.3868729,657.8121949,1142.199068
11350720,상계10동,새벽,15004.22458,502.2484402,369.0206432,506.7045091,875.7251523
11350720,상계10동,아침,15502.27402,526.3557027,387.9674779,546.350679,934.3181569
11350720,상계10동,낮,16309.40206,549.2601228,400.3936036,567.5319478,967.9255514
11350720,상계10동,저녁,17224.23049,563.0615629,413.2764709,564.5750798,977.8515507
11350720,상계10동,밤,16064.28351,534.3325148,388.5363582,534.1894308,922.725789
11350665,상계3.4동,새벽,23565.69895,1006.681093,758.912387,1261.485209,2020.397596
11350665,상계3.4동,아침,22514.62648,941.1602563,721.9579828,1201.307511,1923.265494
11350665,상계3.4동,낮,19626.96544,840.0369676,651.1286604,1090.636899,1741.765559
11350665,상계3.4동,저녁,20907.82863,917.5864884,714.6850008,1177.373526,1892.058527
11350665,상계3.4동,밤,22775.08019,983.2804841,745.0996588,1233.713686,1978.813345
11350695,상계6.7동,새벽,42024.65984,1331.559302,1005.088378,1410.191871,2415.280249
11350695,상계6.7동,아침,43174.2464,1394.844733,1027.685652,1479.924239,2507.609891
11350695,상계6.7동,낮,47041.40603,1520.215719,1114.465451,1628.446481,2742.911932
11350695,상계6.7동,저녁,46742.70914,1469.56209,1090.123928,1556.101616,2646.225544
11350695,상계6.7동,밤,44392.26916,1398.044369,1052.005156,1485.886267,2537.891423
11350625,중계2.3동,새벽,36122.77231,1114.729301,912.8930004,1385.019102,2297.912102
11350625,중계2.3동,아침,35478.67145,1083.851226,875.714596,1353.564921,2229.279517
11350625,중계2.3동,낮,33654.89462,1042.38652,822.2203807,1260.106064,2082.326445
11350625,중계2.3동,저녁,34913.62593,1114.216824,875.5300327,1319.979809,2195.509842
11350625,중계2.3동,밤,36587.07472,1144.824226,906.8086662,1359.008918,2265.817584
11350595,공릉1동,새벽,46101.42469,1627.883697,1272.014663,1695.131429,2967.146092
11350595,공릉1동,아침,44834.10495,1550.39749,1218.879577,1659.329625,2878.209202
11350595,공릉1동,낮,41907.74139,1479.074337,1167.824517,1632.706578,2800.531095
11350595,공릉1동,저녁,45577.66967,1656.24221,1277.447945,1758.407435,3035.85538
11350595,공릉1동,밤,47073.55717,1683.556902,1294.733821,1755.306574,3050.040395
11380510,녹번동,새벽,38664.78286,1400.710195,1028.796862,1508.909885,2537.706747
11380510,녹번동,아침,36708.77443,1302.192305,951.9039752,1431.757223,2383.661198
11380510,녹번동,낮,31420.43426,1135.543228,844.1479115,1272.562008,2116.70992
11380510,녹번동,저녁,32578.79317,1206.737689,892.7514597,1310.950251,2203.701711
11380510,녹번동,밤,36274.72073,1325.387527,971.5476097,1418.600107,2390.147717
11380520,불광1동,새벽,37046.65289,1295.81026,993.0849938,1614.517874,2607.602868
11380520,불광1동,아침,35185.64056,1219.097725,926.405705,1544.294194,2470.699899
11380520,불광1동,낮,32129.84876,1192.028459,918.8974032,1552.418803,2471.316206
11380520,불광1동,저녁,35655.16052,1365.249978,1056.721563,1724.746512,2781.468075
11380520,불광1동,밤,38000.86431,1392.974006,1058.598459,1717.562443,2776.160902
11380551,갈현1동,새벽,24556.02983,920.9531255,652.8566029,972.7519112,1625.608514
11380551,갈현1동,아침,24885.83473,906.2673952,641.1022498,979.0440127,1620.146263
11380551,갈현1동,낮,23470.20237,856.7162087,639.3045221,1000.931071,1640.235593
11380551,갈현1동,저녁,26297.65654,967.5867574,712.4311636,1080.232104,1792.663268
11380551,갈현1동,밤,26610.544,983.0404632,705.3618625,1052.238378,1757.600241
11380552,갈현2동,새벽,28927.10804,941.9598217,687.1646653,979.4385498,1666.603215
11380552,갈현2동,아침,26266.28014,833.5728897,620.4217264,895.2473844,1515.669111
11380552,갈현2동,낮,21656.09332,664.7808777,508.1558509,764.7003688,1272.85622
11380552,갈현2동,저녁,23731.89355,749.7076599,571.2467003,844.7774304,1416.024131
11380552,갈현2동,밤,26963.67576,868.474777,642.2038365,933.1415765,1575.345413
11380560,구산동,새벽,30074.35726,1040.376399,753.458921,1178.905575,1932.364496
11380560,구산동,아침,28732.16972,938.7238815,706.0478841,1110.053529,1816.101413
11380560,구산동,낮,25219.65715,790.1622352,615.7626405,979.0100143,1594.772655
11380560,구산동,저녁,25008.61716,857.1325255,646.5165294,1017.38541,1663.901939
11380560,구산동,밤,27979.18588,974.8140534,704.3460892,1095.15197,1799.498059
11380570,대조동,새벽,37151.66737,1290.978499,891.4922661,1342.187616,2233.679882
11380570,대조동,아침,35240.132,1204.466179,865.4040017,1289.636764,2155.040766
11380570,대조동,낮,31134.0088,1111.74923,834.9206422,1253.553092,2088.473734
