자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
도봉구,풋살장,창동문화체육센터 풋살장,도봉구 노해로69길 132,37.6582713,127.0506149,901-5000,8695㎡,http://www.dobongsiseol.or.kr/index_sport.html,유,실내,비회원 10분당 500원 / 회원 3시간 무료
도봉구,생활체육관,대우스포츠센터,도봉구 덕릉로63가길 61,37.6423565,127.0375024,904-9633,,https://daewoosports.modoo.at/,유,실내,주차 가능
도봉구,생활체육관,도봉구민회관,도봉구 도봉로 552,37.6540005,127.0386044,901-5160,,http://www.dobongsiseol.or.kr/,유,실내,주차 가능(68면)
노원구,생활체육관,월계문화체육센터,노원구 월계로 298,37.6285057,127.0567724,2289-6870,,http://gongdan.nowon.kr/culturebusiness/wolgae/info.html,유,실내,주차 가능
노원구,생활체육관,노원구민체육센터,노원구 노원로22길 1,37.6481175,127.0706261,2289-6800,,http://gongdan.nowon.kr/culturebusiness/nowon/info.html,유,실내,10분당 300원
노원구,생활체육관,동천재활체육센터,노원구 노원로18길 41 ,37.644436,127.0733938,949-9114,,http://www.dcsports.co.kr/,유,실내,주차 가능
노원구,수영장,노원구민체육센터 수영장,노원구 노원로22길 1,37.6481175,127.0706261,2289-6800,1813㎡,http://gongdan.nowon.kr/culturebusiness/nowon/info.html,유,실내,10분당 300원
노원구,생활체육관,노원청소년수련관 체육관,노원구 덕릉로70길 99,37.640577,127.059609,3391-4141,,http://youthcenter.or.kr/,유,실내,-
노원구,수영장,노원청소년수련관 수영장,노원구 덕릉로70길 99,37.640577,127.059609,3391-4141,,http://youthcenter.or.kr/,유,실내,-
노원구,배드민턴장,불암산배드민턴장,노원구 중계로 36,37.6391199,127.0840075,2289-6856,13면,http://gongdan.nowon.kr/,유,실내,주차 가능(99면)
노원구,빙상장,태릉선수촌 국제스케이트장,노원구 화랑로 727,37.638659,127.10307,970-0501,,www.icerink.or.kr/ ,유,실내,주차 가능
노원구,빙상장,태릉선수촌 실내빙상장,노원구 화랑로 681,37.637435,127.103092,970-0061,,-,유,실내,주차 가능
노원구,배드민턴장,월계배드민턴장,노원구 마들로 5가길 113,37.6383233,127.0519475,2289-6863,10면,http://gongdan.nowon.kr/,유,실내,주차 가능
노원구,배드민턴장,당고개배드민턴장,노원구 상계로 273,37.6645066,127.0737934,2289-6864,7면,http://gongdan.nowon.kr/,유,실내,-
노원구,사격장,공릉중학교내사격장,노원구 노원로1길 42,37.6222083,127.0837653,971-5212 ,,http://kongrung.ms.kr/,무,실내,-
노원구,빙상장,광운대학교,노원구 광운로 20,37.6194277,127.05982,909-3114,,http://icerink.kw.ac.kr/,유,실내,-
금천구,생활체육관,금빛휘트니스센터,금천구 금하로 668,37.4525867,126.9043003,802-9685,,http://www.gfmc.kr/,유,실내,회원 3시간 무료
금천구,생활체육관,금천구민문화체육센터,금천구 독산로54길 188,37.4702259,126.9070647,861-1313,,http://www.gfmc.kr/,유,실내,회원 3시간 무료
금천구,구기체육관,독산 배드민턴체육관,금천구 독산로54길 102-82,37.4667151,126.9089754,869-7577,9면,http://www.geumcheon.go.kr/,유,실내,주차 가능
금천구,골프연습장,금빛휘트니스센터 골프연습장,금천구 금하로 668,37.4525867,126.9043003,802-9685,365㎡,http://www.gfmc.kr/,유,실내,회원 3시간 무료
금천구,골프연습장,금천구민문화체육센터 골프연습장,금천구 독산로54길 188,37.4702259,126.9070647,861-1313,290.9㎡,http://www.gfmc.kr/,유,실내,회원 3시간 무료
금천구,수영장,금천청소년수련관 수영장,금천구 금하로30길 54,37.448335,126.915515,803-1318,,www.cyc.or.kr ,유,실내,-
금천구,수영장,금천구민문화체육센터 수영장,금천구 독산로54길 188,37.4702259,126.9070647,861-1313,958㎡,http://www.gfmc.kr/,유,실내,회원 3시간 무료
금천구,생활체육관,금천청소년수련관 체육관,금천구 금하로30길 54,37.448335,126.915515,803-1318,,www.cyc.or.kr ,유,실내,-
구로구,수영장,50플러스수영장,구로구 오류로 36-25,37.4881908,126.8420685,2066-1515,1290㎡,https://www.gurosisul.or.kr/,유,실내,천왕역 환승센터 주차장 이용
구로구,생활체육관,신도림생활체육관,구로구 경인로 67길 149,37.5122164,126.8864678,1899-9912,,https://www.gurosisul.or.kr/,유,실내,회원 3시간 무료 초과시 30분당 1000원
